locus_tag	annotation	logFC	AveExpr	t	P.Value	adj.P.Val	B
Blon_0879	Predicted N-acetyl-glucosamine kinase 2, ROK family (EC 2.7.1.59)	4.711711567184919	8.379100397275657	51.31110123001626	1.0058001561519096e-16	2.9746539618192727e-14	28.395475200899707
Blon_0881	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	3.37675084444787	10.879978021816058	65.15809676576478	4.197347856643662e-18	2.7106160190176538e-15	31.981010996584182
Blon_0882	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	3.312736771660436	10.94997694384285	33.372440604741875	3.000991855418508e-14	7.100346729920189e-12	23.07713285951143
Blon_2347	Type II HMOs transporter (Blon_2347) I, substrate-binding protein	2.94058990628111	10.025808509452618	69.59552245183907	1.7464573471756777e-18	2.0660590417088266e-15	32.80046171661831
Blon_2341	hypothetical protein	2.6654399633489616	7.56783751498924	42.32624922004513	1.29372224449842e-15	3.401052033870291e-13	26.297105248162467
Blon_2344	Type II HMOs transporter (Blon_2344) II, substrate-binding protein	2.643824276628287	11.119002789433717	58.09729051515128	1.930101294980357e-17	9.133239327847049e-15	30.536593732015543
Blon_2346	Type II HMOs transporter, permease protein 1	2.4775497451430804	9.82671344658174	51.66480486916941	9.180814220537709e-17	2.9746539618192727e-14	28.97934584919288
Blon_2343	Type II HMOs transporter, permease protein 1	2.4775497451430804	9.82671344658174	51.66480486916941	9.180814220537709e-17	2.9746539618192727e-14	28.97934584919288
Blon_2345	Type II HMOs transporter, permease protein 2	2.4366237851880523	9.594827164543752	32.83000581128966	3.725452573464835e-14	7.345350657348166e-12	22.87477390842252
Blon_2342	Type II HMOs transporter, permease protein 2	2.4366237851880523	9.594827164543752	32.83000581128966	3.725452573464835e-14	7.345350657348166e-12	22.87477390842252
Blon_1132	hypothetical protein	2.265375274802521	-0.6857483895684542	4.684696754515838	3.982627639403912e-4	0.0025911009567861163	0.2823427981418245
Blon_2352	Predicted HMO transporter Blon_2352, substrate-binding protein	1.6786005220718039	7.807052808686795	16.713410096681425	2.4612650408513597e-10	2.7730252793591986e-8	13.8815547291222
Blon_2183	PTS system, glucose-specific IIABC (EC 2.7.1.69) @ PTS system, fructose-specific IIABC (EC 2.7.1.202)	1.5614608992394974	8.56583126287098	15.032903695618735	9.469947876051276e-10	1.0184498488516963e-7	12.210246481906687
Blon_1498	hypothetical protein	1.5421786025246358	-0.03480010696833336	4.0608865400921035	0.0012812274140509064	0.006575670415714631	-0.9015376670650159
Blon_2349	N-acetylneuraminate lyase (EC 4.1.3.3)	1.384182201605615	6.568956074405994	10.19783950199418	1.13193135646887e-7	4.6985080515883276e-6	7.508797386675466
Blon_2177	Lacto-N-biose and Galacto-N-biose ABC transporter 1, periplasmic substrate-binding protein @ Type I HMOs transporter, substrate-binding protein	1.373780253871729	8.742920912827717	16.79800838123015	2.307471601585961e-10	2.7297389046761917e-8	13.815876602913761
Blon_2351	Predicted HMO transporter Blon_2351, substrate-binding protein	1.358590586387951	6.9922826368666895	10.92590348199371	4.944778337473064e-8	2.4373636555127642e-6	8.309814373583889
Blon_2444	Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE	1.3081065506412202	10.64676643540789	25.47192286153637	1.0476054911028329e-12	1.6524230612995348e-10	19.311920324506296
Blon_1192	hypothetical protein	1.2757490427901108	2.151160301036244	4.834239949470879	3.029844749134494e-4	0.0021146350078030127	0.10576229184321928
Blon_0883	Lacto-N-biose and Galacto-N-biose ABC transporter 2, periplasmic substrate-binding protein	1.2683635046818473	8.414459322270142	12.846987957869684	6.789660392299852e-9	5.18204402844563e-7	10.25214192168077
Blon_1198	NA	1.2526488289628346	3.967732275044088	11.204318535824221	3.645155299695256e-8	1.875536167951253e-6	9.051597357047655
Blon_1480	ABC transporter, substrate-binding protein	1.235027904599149	6.554719429253021	13.332649830577282	4.278789460429902e-9	3.733363597748653e-7	10.906579647904765
Blon_0139	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)	1.2319546303264488	9.763900844762013	21.81592646074797	7.915021471442352e-12	1.1015847530254475e-9	17.198840640273154
Blon_2176	Lacto-N-biose and Galacto-N-biose ABC transporter 1, permease component 1 @ Type I HMOs transporter, permease protein 1	1.2124184155467868	6.217207963660977	9.133952007004769	4.144019022094086e-7	1.324966081929001e-5	6.3851498496106505
Blon_1200	N-formylglutamate deformylase (EC 3.5.1.68)	1.1453136732747584	4.832053532760439	9.511770613636292	2.580950255763139e-7	9.114221350948638e-6	6.799536015056183
Blon_1251	hypothetical protein	1.1347438253724489	3.922743063484203	6.490233575885504	1.7936323993025787e-5	2.357630142638834e-4	2.617258012108792
Blon_2442	Maltose/maltodextrin ABC transporter, permease protein MalF	1.1186572282278444	7.9222509634423295	18.150381096320913	8.549813696712322e-11	1.1238255114678531e-8	14.889137074569161
Blon_2350	Predicted HMO transporter Blon_2350, substrate-binding protein	1.108182908232493	7.78574616045513	12.976381475705143	5.9950123937124115e-9	4.7280664411745214e-7	10.383840856830407
Blon_1831	putative lysin	1.0713435699425862	1.1341502001613986	4.603344270503799	4.626707549748569e-4	0.002903657841566343	-0.2911472445047405
Blon_2359	ABC transporter, permease component 2	1.0602710074229516	1.9131152355168957	4.555870113184428	5.051522847175909e-4	0.003088347043002119	-0.3165467751574491
Blon_1246	hypothetical protein	1.0535143603139332	4.650312705101124	10.645122701441515	6.768788735808489e-8	3.0797988747928623e-6	8.309818948881475
Blon_2441	Maltose/maltodextrin ABC transporter, permease protein MalG	1.0485785126511065	7.831968844086492	10.866158503337292	5.283515713122905e-8	2.5511833014793454e-6	8.095565868906649
Blon_2361	ABC transporter, ATP-binding protein	1.0396091187743677	3.9507812893486247	8.0074476357833	1.8618622628574182e-6	4.155817088604388e-5	4.876747589185882
Blon_0884	Lacto-N-biose and Galacto-N-biose ABC transporter 2, permease component 1	1.0284201475942938	6.893797935258217	7.882930354769372	2.217899665450479e-6	4.814266613262233e-5	4.388130640688582
Blon_2332	Lactose and galactose permease, GPH translocator family	1.0208144207448981	9.951883679925286	23.855123048337642	2.469717704536512e-12	3.652095055583367e-10	18.41162447947458
Blon_1199	hypothetical protein	1.013346493765046	2.359115488155503	5.366497788123517	1.1721968156366945e-4	0.0010048614731146446	0.9993104845299063
Blon_1244	hypothetical protein	1.000827575058742	5.187507569507905	6.617293639565539	1.4666270249106286e-5	2.029262889437747e-4	2.5590643910884605
Blon_0789	Sucrose specific transcriptional regulator CscR, LacI family	-1.1618167325208164	8.170133007517453	-28.26400871234482	2.676776593387717e-13	4.871733399965645e-11	20.840151835005056
Blon_0786	ABC-type nitrate/sulfonate/bicarbonate transport system, permease component	-1.8168067349169847	6.495553799144722	-27.531346812657617	3.7795444965774666e-13	6.387430199215919e-11	20.645657860178922
Blon_0788	Sucrose permease, major facilitator superfamily	-5.848889400958344	7.85019450069485	-64.7295014660871	4.5826137261498795e-18	2.7106160190176538e-15	31.207516490141316
Blon_0787	Exo-beta-(2-1/2-6)-fructofuranosidase 2, GH32	-6.564521659108576	8.208710546510636	-80.93485247636588	2.340006679605177e-19	5.536455803945848e-16	33.414359893444924
